21.8513 -100 107.197  0.0343189 0.999373 0.00865143  
73.4664 -100 59.8873  0.00032663 0.996231 0.0867421  
66.1213 -100 135.014  -0.0386237 0.998317 0.0432633  
61.3009 -100 126.861  0.0222701 0.995526 -0.0918226  
79.8971 -100 124.304  -0.0634694 0.997444 0.0328238  
29.4359 -100 89.8982  0.0150095 0.998046 0.0606619  
61.0048 -100 120.471  -0.075256 0.995309 0.0607954  
11.1101 -100 47.4354  -0.0620438 0.996821 0.0499936  
34.7124 -100 112.248  0.0167342 0.999569 0.0241301  
21.6087 -100 73.5896  -0.00189443 0.993248 0.115997  
89.7327 -100 130.367  -0.0301339 0.993873 -0.106342  
13.9627 -100 112.734  0.0135294 0.995452 -0.0942995  
13.8825 -100 60.6876  -0.0221634 0.99969 0.0113489  
64.5604 -100 75.5529  -0.0915465 0.995057 0.0384774  
48.2613 -100 113.076  0.059832 0.998001 -0.0203458  
86.966 -100 91.9252  0.0145956 0.995126 0.0975291  
55.7596 -100 96.8654  -0.0918764 0.995446 -0.0253998  
83.1079 -100 91.8611  -0.000977928 0.999286 -0.0377709  
55.6985 -100 90.8224  -0.0502748 0.997965 -0.0392185  
72.1198 -100 79.607  -0.0180057 0.991925 0.125542  
43.4634 -100 70.8559  0.00124118 0.998936 -0.0461058  
49.0353 -100 106.24  -0.0521952 0.997098 -0.0554247  
56.9924 -100 117.357  -0.00261706 0.999991 -0.00338614  
66.1482 -100 83.5706  -0.0767505 0.995969 0.0464289  
58.0824 -100 101.611  0.0103598 0.994005 0.108839  
27.5094 -100 101.439  0.0618045 0.998016 -0.0119712  
47.4968 -100 121.996  -0.0182698 0.99754 0.0676824  
23.4269 -100 50.1599  0.050377 0.99796 0.0392125  
25.7871 -100 119.729  -0.0415219 0.998004 -0.0475887  
48.3504 -100 73.7475  -0.00523808 0.9997 0.0239447  
